aboard|type|cn / ln|date|fatalities|flight #|ground|location|operator|registration|route|summary|time
10   (passengers:4  crew:6)|Antonov AN-26-100|3204|October 14, 2017|4   (passengers:4  crew:0)|?|0|Abidjan, Ivory Coast|Valan International Cargo Charter|ER-AVB|Burkina Faso - Abidjan|The cargo plane, carrying French military cargo, crashed in shallow waters along the coastline while on final approach to Abidjan-Felix Houphouet Boigny Airport. The plane was carrying 6 Moldovan crew members and 4 French army personnel. Weather reports indicate that a thunderstorm was passing the airport at the time of the accident.|0830
11   (passengers:10  crew:1)|Cessna 208B Grand Caravan|208B-0476|November 15, 2017|11   (passengers:10  crew:1)|?|0|Empakaai, Tanzania|Costal Aviation|5H-EGG|Arusha - Serengeti|The chartered Cessna was flying tourists from Kilimanjaro to Arusha. The plane circled for 30 minuets due to poor weather conditions before crashing.|0800
25   (passengers:22  crew:3)|ATR42-320|240|December 13, 2017|1   (passengers:1  crew:0)|?|0|Near Fond-du-Lac, Saskatchewan|West Wind Aviation|C-GWEA|Fond-du-Lac - Stony Rapids|Shortly after taking off, the aircraft lost altitude and descended into trees. All 22 passengers and 3 crew survived but there were several injuries. One passenger died two weeks after the accident.  During the descent, the aircraft encountered icing conditions and the anti-icing and de-icing systems were activated. When the de-icing and anti-icing systems were turned off, residual ice remained on portions of the aircraft.|1815
12   (passengers:10  crew:2)|Cessna 208B Grand Caravan|208B-0900|December 31, 2017|12   (passengers:10  crew:2)|?|0|Punta Islita, Costa Rica|Naure Air|TI-BEI|Punta Islita - San Jose|The passenger plane crashed 10 minutes after taking off from Punta Islita into a wooded area. Ten American passengers and crew of 2 were all killed. On 1/12/2018 the companies Air Operator certificate was suspended,  According to a hotel worker that was at the airport during the departure, when the accident airplane took off, it did not make the same right turn as the prior airplane but continued on runway heading into terrain.|1216
12   (passengers:7  crew:5)|Shaanxi Y-8GX-3|?|January 29, 2018|12   (passengers:7  crew:5)|?|0|Zhengchang, Suiyang County, Guizhou Province|People's Liberation Army Air Force|30513|Training|While completing a training mission, the airplane crashed in unknown circumstances near the Zhengchang village, in the Guizhou Province.|?
7   (passengers:6  crew:1)|Eurocopter EC 130B4|7091|February 10, 2018|3   (passengers:3  crew:0)|?|0|Grand Canyon, Arizona|Papillon|N155GC|Sightseeing|The helicopter was observed making strange manoeuvres before clipping a cliff which snapped off its tail end. The aircraft then plummeted 600ft to the base of a gorge. There were strong winds in the area at the time of the accident.|1731
71   (passengers:65  crew:6)|Antonov AN-148-100|27015040004|February 11, 2018|71   (passengers:65  crew:6)|703|0|Argunovo, Russia|Saratov Airlines|RA-61704|Moscow - Orsk|The regional airliner took off from Moscow at 1422. Six minutes later, after reaching an altitude of 6,000 feet, contact was lost with the aircraft. The plane then lost altitude at an accelerated rate until it impacted the ground and disintegrated. Wreckage was scattered over a wide area of over 1 km. Authorities confirmed the aircraft was intact until the time of impact. There were discrepancies between the air speed readings on the captain's side compared to the standby airspeed indicator.|1431
66   (passengers:60  crew:6)|ATR 72-212|391|February 18, 2018|66   (passengers:60  crew:6)|EP3704|0|Kohangan village, Iran|Iran Aseman Airlines|EP-ATS|Tehran - Yasuj|The airliner was on approach to Yasuj Airport and descending when it crashed into Mt. Dena, 14 miles north of the airport. Poor weather with fog was reported at the time of the accident.  The crew action which caused dangerous conditions for the flight.  Continuing to the Yasouj airport for landing against the operation manual of the company, due to low altitude ceiling of the cloud and related cloud mass. Descending to unauthorized altitude below minimum of the route and MSA.|0932
39   (passengers:33  crew:6)|Antonov An-26|10107|March 06, 2018|39   (passengers:33  crew:6)|?|0|Latakia, Syria|Military - Russian Air Force|RF-92955/52|Kuweires Air Base - Latakia-Khmeimim Air Base|While on approach to Latakia-Khmeimim Air Base, the military transport plane crashed 1,600 feet short of the runway. The aircraft approached with a tail wind and was caught by a windshear on finals.|1451
6   (passengers:5  crew:1)|Eurocopter AS 350B2|7654|March 11, 2018|5   (passengers:5  crew:0)|?|0|New York, New York|Liberty Helicopters|N350LH|Sightseeing|The sightseeing helicopter suddenly lost power and crashed in the East River. Two passengers were killed. Three other passengers later died in the hospital.|1908
71   (passengers:67  crew:4)|de Havilland Canada DHC-8-402Q Dash 8|BS4041|March 12, 2018|51   (passengers:47  crew:4)|221|0|Kathmandu, Nepal|US-Bangla Airlines|S2-AGU|Dhaka - Kathmandu|After getting clearance to land, the aircraft was observed flying low. Soon after, the plane impacted terrain and caught fire. The cause of the accident was due to disorientation and  complete loss of situational awareness of the crew.|1415
257   (passengers:247  crew:10)|Ilyushin 76-TD|1043419636|April 11, 2018|257   (passengers:247  crew:10)|?|0|Boufarik AB, Algeria|Military - Algerian Air Force|7T-WIP|Boufarik AB - Bechar - Tindouf|The Algerian military plane crashed soon after takeoff in a field and burst into flames. The plane was totally destroyed.|0800
149   (passengers:144  crew:5)|Boeing 737-7H4|27880/601|April 17, 2018|1   (passengers:1  crew:0)|1380|0|NW of Philadelphia, Pennsylvania|Southwest Airlines|N722SW|New York - Dallas|While climbing to FL320, the No. 1 engine suffered an uncontained catastrophic failure. Shrapnel struck and broke a window which resulted in explosive decompression. A woman passenger sitting in the window seat was partially sucked out of the window. Passengers were able to pull her back in the cabin but she was reported in cardiac arrest and soon after died. The crew declared an emergency and landed safely at Philadelphia airport.|1004
9   (passengers:0  crew:9)|Lockheed HC-130H Hercules|382-4110|May 02, 2018|9   (passengers:0  crew:9)|?|0|Port Wentworth, Georgia|Military - US Air Force|65-0968|Savannah - Tuscon|A Porto Rico Air National Guard plane crashed onto a highway shortly after taking off from Savannah/Hilton International Airport. The aircraft went into a left bank and crashed to the ground. It was flying to Tucson where it was to be decommissioned. The aircraft was over 50 years old.|1130
113   (passengers:107  crew:6)|Boeing 737-201|21816/592|May 18, 2018|112   (passengers:106  crew:6)|972|0|Havana, Cuba|Cubana (leased from Global Air)|XA-UHZ|Havana- Holguin|After taking off from runway 06 at Havana-José Martí Airport and while in the initial climb, the airliner initiated a right turn and then descended until it struck power lines and a railway track before disintegrating in a wooded area. The actions of the crew and their errors in the weight and balance calculations, which led to the loss of control and collapse of the aircraft during the takeoff stage.|1208
19   (passengers:16  crew:3)|Convair CV-340|215|July 10, 2018|1   (passengers:0  crew:1)|?|1|Pretoria, South Africa|Rovos Air|ZS-BRV|Test Flight|Shortly after takeoff from runway 29, the left engine failed and the crew was unable to gain sufficient height. The captain was cleared to make an emergency landing. While approaching runway 29 from the east, the airplane went out of control, struck the roof of a building and crashed in a field located about 6 km southeast of the airport. The flight engineer was killed along with a person on the ground.|0744
20   (passengers:17  crew:3)|Junkers JU-52|6595|August 04, 2018|20   (passengers:17  crew:3)|?|1|Flims, Switzerland|Ju Air|HB-HOT|Locorno - Dubendorf|The vintage aircraft crashed onto Piz Segnas mountain while on a sightseeing flight. The plane plunged almost vertically at high speed and crashed at an elevation of 8,000 ft.|1655
47   (passengers:35  crew:12)|Boeing 737-8BK|33024/1688|September 28, 2018|1   (passengers:1  crew:0)|?|0|Chuuk, Micronesia|Air Niugini|P2-PXE|Pohnpei - Chuuk|The aircraft was approaching for a landing at Chuuk/Weno Airport in rain when it landed in a lagoon 500 feet short of the runway. A passenger was found in the plane 3 days after the accident.|1010
189   (passengers:181  crew:8)|Boeing 737-MAX 8|43000/7058|October 29, 2018|189   (passengers:181  crew:8)|610|0|Off Jakarta, Indonesia|Lion Air|PK-LQP|Jakarta - Pangkal Pinang|The airliner crashed into the Jakarta Sea, 13 minutes after taking off from Soekarno-Hatta International Airport. It was on a short 1 hour flight to Pangkal Pinang. After taking off from runway 25L, the aircraft made a climbing left-hand turn after which the crew radioed a request to return too the airport. The aircraft then showed an erratic pattern of flight and began losing altitude until it crashed into the sea, 9 miles off the Jakarta coast. It was reported the plane had problems the night before on a flight from Denpasar to Jakarta.  It was found that there is a potential for repeated automatic nose-down trim commands of the horizontal stabilizer when the flight control system on a Boeing 737 MAX aircraft receives an erroneously high single AOA sensor input.|0631
128   (passengers:120  crew:8)|Boeing 757-N23|30233/895|November 06, 2018|1   (passengers:1  crew:0)|?|0|Georgetown, Guyana|Fly Jamaica Airways|N524AT|Georgetown - Toronto|After taking off and reaching FL200, the crew reported a hydraulic problem and circled back to Georgetown Airport. The aircraft touched down on runway 06 but went off the runway and came to rest against the airport perimeter fence. Six people were injured. One person died of their injuries several days later.|0253
16   (passengers:13  crew:3)|Boeing 707-3J9C|21128/917|January 14, 2019|15   (passengers:13  crew:2)|?|0|Karaj, Iran|Saha Air|EP-CPP|Bishkek - Payam|The cargo plane was operated by the Iranian Air Force. The plane was to land on runway 30 at Payham Airport but instead landed on runway 31L at Fat'h Airport. Runway 30 is more than twice as long as runway 31L.The plane went off the runway, smashed through an airport wall separating the airport from a residential neighborhood, broke up and caught fire. Only the fight engineer survived.|0830
3   (passengers:0  crew:3)|Boeing 767-375ER|25865|February 23, 2019|3   (passengers:0  crew:3)|3591|0|Houston, Texas|Atlas Air serving Amazon|N1217A|Miami - Houston|ATC lost radar contact with the cargo jet when it was 30 miles southeast of George Bush International Airport. The plane crashed into Trinity Bay and broke apart in muddy water about 5 feet deep.|1245
14   (passengers:11  crew:3)|Douglas DC-3|:33105/16357|March 09, 2019|14   (passengers:11  crew:3)|?|0|Vereda La Bendicion, Colombia|Laser Aereo Colombia|HK-2494|San Jose - Villavicencio|While on approach to land, the crew contacted ATC and declared an emergency after which the airplane crashed in flames in a palm grove, 35 km south of La Vanguardia Airport. The crew reported engine problems.|1040
157   (passengers:149  crew:8)|Boeing 737 Max 8|63450/7243|March 10, 2019|157   (passengers:149  crew:8)|302|0|Bishoftu, Ethiopia|Ethiopian Airlines|ET-AVJ|Addis Ababa - Nairobi|The internationally scheduled airliner crashed 6 minutes after taking off from Addis Ababa-Bole Airport. The pilot sent out a distress call and was given clearance to return to the airport. The crash site, some 31 miles southeast of the airport, contained a smoky crater with small pieces of wreckage. The accident might have been related to a software error on he Max 8..|0844
6   (passengers:5  crew:1)|Pilatus-Britten Norman BN-2B-27 Islander|2169|April 16, 2019|6   (passengers:5  crew:1)|?|0|Puerto Montt, Chile|Archipelagos Service Aereos|CC-CYR|Puerto Montt - Ayacara|While the aircraft was in the initial climb, plane lost height and crashed in flames into a house located in a residential area about 400 meters from the airfield.|1100
13   (passengers:11  crew:2)|Canadair CL-600-2B16-Challenger|5043|May 05, 2019|13   (passengers:11  crew:2)|?|0|Near Monclava, Mexico|TVPX Aircraft Solutions|N601VH|Las Vegas - Monterrey|The aircraft crashed while en route on a return trip from Las Vegas to Monterrey, Mexico.|1830
78   (passengers:73  crew:5)|Sukhoi Superjet-100-95B|95135|May 05, 2019|41   (passengers:40  crew:1)|?|0|Moscow, Russia|Aeroflot Russian International Airlines|RA-89098|Moscow - Murmansk|Forty-five minutes after taking off from Moscow's Sheremetyevo Airport, the plane returned to make an emergency landing. About 16-21nm west of Sheremetyevo Airport there was a thunderstorm. The aircraft was climbing through 7,900 feet when an electrical failure occurred, the flight control system degraded to "DIRECT MODE", the autopilot automatically disconnected; the aircraft was in the middle of thunderstorm activity. The captain assumed manual control of the aircraft until the end of the flight. The crew decided to return to Sheremetyevo and performed a manual ILS approach to runway 24L. At the time the aircraft intercepted the glideslope the aircraft’s mass was above the maximum landing weight. The crew deployed the flaps to 25 degrees in accordance with the flight crew operating manual for flight with minimum mode (DIRECT MODE) of the FCS as well as landing above MLW. At 15:26Z the crew set the emergency transponder code. Vapp was determined to be 155 KIAS, the descent on the glideslope was stabilised and without any deviation from Vapp. Descending between 1,100 and 900 feet the crew received 5 cycles of predictive windshear warnings. Descending through 260 feet AGL the aircraft began to deviate below the glide slope, a ‘GLIDESLOPE’ warning occurred. Descending between 180 to 40 feet the engine thrust was increased causing the aircraft to accelerate to 164 knots. At 16 feet AGL the speed was 170 KIAS. A Terrain Awareness Warning System aural signal ‘Retard’ occurred. The engine thrust was reduced to idle. At that point the captain began to apply oscillating pitch inputs with increasing amplitude which changed the pitch angle up to +6 and -2 degrees. The aircraft made a "three point" touchdown 900 meters past the runway threshold at 158 KIAS and a vertical load of +2.55G and bounced up to 6 feet AGL. The spoilers did not deploy. In DIRECT MODE they are not permitted to operate automatically and need to be extended manually, however the spoilers were not manually extended by the crew. Two seconds after the first touchdown the aircraft touched down a second time with the nose gear first at 155 KIAS and +5.85G. The aircraft bounced off again to 18 feet AGL. A third touchdown occurred at 140 KIAS in excess of +5G resulting in the destruction of the construction, a fuel spill and fire.|1830
13   (passengers:5  crew:8)|Antonov An-32|1009|June 03, 2019|13   (passengers:5  crew:8)|?|0|Near Lipo, India|Military - Indian Air Force|K2752|Jorhat-Rowriah - Mechuka|Crashed about 34km WNW of Mechuka.|1300
5   (passengers:0  crew:5)|Beechcraft B300 King Air|B766|July 30, 2019|5   (passengers:0  crew:5)|?|14|Rawalpindi, India|Military - Pakistan Army|766|Training|The Pakistani military plane, on a training flight, crashed into residential structures in Mora Kalu Village on the outskirts of Rawalpindi. The aircraft was destroyed killing 18 people, including the 2 pilots, 3 crew members and 14 civilians on the ground.|0200
2   (passengers:0  crew:2)|Convair CV-440F|393|September 11, 2019|2   (passengers:0  crew:2)|?|0|Toledo, Ohio|Private|N24DR|Millington - Toledo|The Cargo plane was preparing to land at Toledo when it crash into a truck repair shop, one-half  mile short of the runway. Both persons aboard were killed.|0228
8   (passengers:1  crew:7)|Antonov An-12BK|8345604|October 04, 2019|5   (passengers:1  crew:4)|4050|0|Lviv, Ukraine|Ukraine Air Alliance|UR-CAH|Vigo - Lviv - Istanbul|The chartered cargo plane, planning to stop for refueling at Lviv, and continue on to Istanbul, ran out of fuel and crashed less than a mile from the runway into brush.|0729
